Pattern	Replacement	Flags
高級弓技	上級弓技
高級騎乗技術	上級騎乗技術
ジャスティスジャッジ	司法裁判
勉強方法を教える	勉強の方法
理論方法を教える	理論的考え方
どうぞご協力を。ありがとうございます	リラックスしてくださいね、すみません
分かりました。お客様	いい感じですよ、お客様
どうぞご安心にお楽しみください	どうぞ安心してお楽しみください
公物を壊すのは良くないと指摘する	物を壊すのは良くないと指摘する
酔いつぶれた年寄りのセーラー	酔いつぶれた年寄りの船員
年寄りのセーラーがゆっくりと床から腰を上げ、長いおくびをした	年寄りのセーラーがゆっくりと床から腰を上げ、長いげっぷをした
こんなんじゃ私の体の汚れをきれいできないぞ	こんなんじゃ私の体の汚れをきれいにできないぞ
この人は仕事を終えたばかりの鉱夫、背骨や腕が埃まみれに	この人は仕事を終えたばかりの鉱夫、背中や腕が埃まみれに
*真面目にお客さんのよくわからない液体にまみれたコートを洗ってあげた	*は真面目にお客さんのよくわからない液体にまみれたコートを洗ってあげた
好奇心あふれる異国の游客	好奇心あふれる異国の遊客
異国のお客さんがこのゲームの戸惑っている模様	異国のお客さんがこのゲームに戸惑っている模様
いやらしい手が絡みついてくる。*が気持ち悪くなった。	いやらしい手が絡みついてくる。*は気持ち悪くなった。
どうやらこれからこの古いノートがさらに埃が溜まりそうだ	どうやらこの古いノートにこれからさらに埃が溜まりそうだ
優しく子犬を撫で撫ですると、子犬が大きく目を開いて	優しく子犬をなでなですると、子犬は大きく目を開いて
傑出な漫画家	傑出した漫画家
剣術において、あたしの右に出る者なし	剣術において、私の右に出る者なし
音楽は私が生きがい	音楽は私の生きがい
比赛奖金	賞金
アルケミカルの支出	錬金術費用
もう一局だ	もう一回だ
俺が裁判だったらいい点あげちゃう	俺が審査員だったらいい点あげちゃう
高級剣術	上級剣術
高級射手	上級射手
馴染んだ議論	身近な議論
高級役者	上級役者
命令聞け	命令を聞け
高級剣技	上級剣技	g
鴞臨騎士団	フクロウ騎士団
彼女の余韻を漂わす歌声が千里の外まで届けることができ	彼女の余韻を漂わす歌声は千里の外まで届き
すべての戸惑いや迷いを闇夜にリセットさせましょう	すべての戸惑いや迷いは闇夜に消しましょう
授業の運動員	授業の選手
王子のエターナル	王子といつまでも
高級騎士	上級騎士	g
温順な動物ばどんな方法でも近づけられる	温順な動物はどんな方法でも近づけられる
今日の任務がまだ完成していない	今日の任務がまだ完了していない
訓練を完成した	訓練を終えた	g
ナタリ教官はどこで手に入れたか	ナタリ教官はどこで手に入れたのか
裏通りでたくさんの駆け引きのことを盗み聞き	裏通りでたくさんの詐欺のことを盗み聞き
学業の悩みやら何やらいっぱい愚痴を吐いて、*に口を挟むこともできなかった	学業の悩みやら何やらいっぱい愚痴を吐いて、*は口を挟むこともできなかった
レイチェル教授が私たちを学校に温室に連れてきた	レイチェル教授が私たちを学校の温室に連れてきた
禁断のみ	禁断の実
領巾	スカーフ	g
フレームボウ	フレイムボウ
野花の存在意義を定義する人は少ないが、それでも彼女たちが咲き誇っています。彼女たちが咲くのは、人に見てもらうためではない	野花の存在意義を定義する人は少ないが、それでも花は咲く。咲き誇るのは、人に見てもらうためではない
剣が根っこに部分から折れている	剣が根っこの部分から折れている
この鳥は病に罹った人が治れるかどうかを予測できる	この鳥は病に罹った人が治るかどうかを予測できる
飲むと昏睡状態に入リ	飲むと昏睡状態に入り
ある透明のクラゲ取れるポーション	ある透明のクラゲから取れるポーション
全ての女性がこれを欲しがっている	女性なら誰でも嬉しいもの
全ての男性がこれを欲しがっている	男性なら誰でも嬉しいもの
不意義に暖かく感じる	不思議に暖かく感じる
近づくと時間が流れを感じ取れる	近づくと時間の流れを感じ取れる
ロングボウはさらに強い威力を持ち、最上級のロングボウはイチイで作られている。このロングボウを扱うには、最も逞しい腕が必要とされる。  ロングボウはさらに強力で最上級品はイチイで作られる。扱うには強靭な力と正確な動きが必要とされる。
弓の素材として使える品種はわずか一部でしかない	弓の素材として使える品種はわずか一部しかない
烈日のもとで眩しい光を反射する。	烈日のもとで眩しく光を反射する。
射程距離が極めて遠い	射程距離が極めて長い
風の速度に並べるほどのロングボウ  風の速度に並ぶほどのロングボウ
ブライン家	ブレイン家
その深さに底が知れない	その深さは底が知れない
冥瀬の洞窟で、&火山の女神の心臓と繋がっている	冥瀬の洞窟は&火山の女神の心臓と繋がっている
進攻抵抗	迎撃
防御工事	防御強化
堅実の一撃	堅実な一撃
困獣陣	獣陣
あなたたちは聖潔の地に踏み入りました。目の前には三枚の扉があります。どれを開けますか	あなたたちは聖潔の地に踏み入った。目の前には二枚の扉がある。どちらを開けるか
壁にある池を通りました。中には光り輝いた水が流れています。	水が飲めそうな泉があり、きらめく水が絶え間なく流れている。
あなたはこの春を無視し、その甘い香りはあなたの注意を引くのに十分ではありませんでした。	泉を無視した。その甘い香りはあなたの注意を引くのに十分ではなかった。
あなたは自分が昔ここで住んでいたと想像して、自分がこの土地にあるすべてのものを知っている。&あなたは想像を22獲得して、知力を22失った。   昔ここに来たことがあるような気がする。&懐かしい音が頭に響き、あなたはおかしくなってしまったのではないかと疑い始めた。
精神を集中したら、もう幻が消えていった。あなたは体がもっと活力に溢れていると感じた。&あなたはHPを22回復して、想像を22失った。	あなたは以前ここに住んでいて、その土地の全てを知っていると想像することにした。&あなたは想像を22獲得して、知力を22失った。
あなたは金貨を投げ出し、それが水の中に落ちて、綺麗な音がした。	精神を集中すると、幻が消えていった。体も元気になったように感じた。&あなたはHPを22回復して、想像を22失った。
あなたたちは黄金鳥の池に来ました。ここには前の人たちの願いが詰まっています	あなたたちは黄金鳥の池に来た。ここには昔の人たちの願いが詰まっている
あなたは金貨を投げ出し、それが水の中に落ちて、綺麗な音がした	金貨を投げると、水の中に落ちて、綺麗な音がした
あなたは金貨を投げ出し、それが水の中に落ちて、綺麗な音がした	金貨を投げると、水の中に落ちて、綺麗な音がした
広い部屋の中に三つのオルゴールが浮いています	広い部屋の中に二つのオルゴールが浮いている
